Aegis Amulet			:1
Aegis Amulet Upgrade		:2
Blink Rune			:1
Blink Rune Upgrade		:2
Bracer Of Undoing		:1
Bracer Of Undoing Upgrade	:2
Cursed Ankh			:1
Cursed Ankh Upgrade		:2
#Frenzy				:1
#Frenzy Upgrade			:2
Hand Of The Gods		:1
Hand Of The Gods Upgrade	:2
Heavenly Wings			:1
Heavenly Wings Upgrade		:2
Horrific Emblem			:1
Horrific Emblem Upgrade		:2
Magic Shell			:1
Magic Shell Upgrade		:2
Meditation Cloak		:1
Meditation Cloak Upgrade	:2
Phantom Veil			:1
Phantom Veil Upgrade		:2
Purification Beads		:1
Purification Beads Upgrade	:2
Shield Of Thorns		:1
Shield Of Thorns Upgrade	:2
Sundering Spear			:1
Sundering Spear Upgrade		:2
Teleport Glyph			:1
Teleport Glyph Upgrade		:2
